number_label,code_value,code_source,manuscript_values,manuscript_line_locations,manuscript_occurrence_count,match
hours_hybrid_conservative,39.6,fig6 source: estimated_hybrid_hours[Conservative] @ 1dp,39.6,"326, 411",2,TRUE
reduction_pct_fast,26.9%,fig6 source: estimated_reduction_percent[Fast] @ 1dp,26.9% lower,"324, 325, 411",3,TRUE
reduction_pct_typical,26.9%,fig6 source: estimated_reduction_percent[Typical] @ 1dp,26.9% lower,"324, 325, 411",3,TRUE
reduction_pct_conservative,25.2%,fig6 source: estimated_reduction_percent[Conservative] @ 1dp,25.2% lower,"326, 411",2,TRUE
seconds_substantive_fast,60,fig6 source: substantive_review_seconds[Fast] (policy input),60 seconds; | Fast | 60 |,"318, 324, 409",3,TRUE
seconds_substantive_typical,90,fig6 source: substantive_review_seconds[Typical] (policy input),90 seconds; | Typical | 90 |,"318, 325, 409",3,TRUE
seconds_substantive_conservative,120,fig6 source: substantive_review_seconds[Conservative] (policy input),120 seconds; | Conservative | 120 |,"318, 326, 409",3,TRUE
seconds_audit_fast,20,fig6 source: audit_review_seconds[Fast] (policy input),60 seconds per substantive review and 20 seconds; | Fast | 60 | 20 |,"318, 324",2,TRUE
seconds_audit_typical,30,fig6 source: audit_review_seconds[Typical] (policy input),90 seconds and 30 seconds; | Typical | 90 | 30 |,"318, 325, 409",3,TRUE
seconds_audit_conservative,45,fig6 source: audit_review_seconds[Conservative] (policy input),120 seconds and 45 seconds; | Conservative | 120 | 45 |,"318, 326, 409",3,TRUE
lineage_raw_records,4610,config/data_provenance.yml: total_record_count,"4,610",204,1,TRUE
lineage_canonical_works,4537,analysis/data/processed/canonical_works.csv row count,"4,537",204,1,TRUE
lineage_savedrecs_per_file_a,"1,000",config/data_provenance.yml: export_files[savedrecs.xls].record_count,"1,000 + 1,000 + 1,000",204,1,TRUE
lineage_savedrecs_998,998,config/data_provenance.yml: export_files[savedrecs_3.xls].record_count,998,204,1,TRUE
lineage_savedrecs_612,612,config/data_provenance.yml: export_files[savedrecs_4.xls].record_count,612,204,1,TRUE
